review_id,customer_id,posting_date,text,cleanliness,communication,check_in,accuracy,location,value
1,1,Sat Oct 10 2020 05:32:09 GMT-0700 (Pacific Daylight Time),Quia corrupti minus. Et et officia magnam. Voluptas harum vel similique fugit.,3,3,5,2,3,3
2,2,Thu Sep 24 2020 15:46:14 GMT-0700 (Pacific Daylight Time),Nihil deleniti quisquam doloribus culpa omnis earum id. Porro inventore quis magnam animi culpa ut autem fugit. Optio rerum omnis optio ut voluptatibus quis placeat eos cupiditate. Maxime dolorem velit veniam qui voluptatem quibusdam velit. Quidem omnis non dolorum officia molestiae cum ea dolores mollitia.,1,2,1,3,5,3
3,3,Sat Feb 29 2020 08:46:30 GMT-0800 (Pacific Standard Time),Nostrum doloribus odit magni molestiae nemo. Impedit accusamus quos cum quo soluta et iure consequatur placeat. Non alias eaque nihil rerum aut. Nisi sit quaerat pariatur dolor. Alias in et dignissimos necessitatibus cum consectetur quo sed repellendus.,3,1,5,5,2,4
4,4,Sat Dec 07 2019 12:31:53 GMT-0800 (Pacific Standard Time),Hic quidem et iure consequatur voluptate placeat doloribus vel accusamus. Dolores quam placeat.,1,5,3,3,1,5
5,5,Tue May 19 2020 11:32:23 GMT-0700 (Pacific Daylight Time),Recusandae nobis et voluptatem. Corporis aut et blanditiis. Eligendi iusto quam dolorum autem enim omnis non aperiam corporis.,4,1,2,4,2,4
6,6,Tue Dec 17 2019 06:14:47 GMT-0800 (Pacific Standard Time),Voluptatem magni minima quisquam numquam officia quasi. Autem voluptas est ullam sequi quo quasi. Nisi distinctio nihil facilis alias ullam qui qui voluptas. Blanditiis id est dicta doloremque. Accusantium est aliquam quos amet optio et. Veritatis nobis earum aut vitae quia mollitia dolor.,2,3,4,4,5,3
7,7,Tue Jan 07 2020 03:28:35 GMT-0800 (Pacific Standard Time),Dolore repudiandae qui. Molestiae ipsa consequuntur. Vel illo similique modi voluptas quia omnis id ut vel. Temporibus voluptatum vero voluptates quia sit blanditiis tempora vel. At velit cumque incidunt deleniti hic quidem inventore incidunt.,5,2,3,5,2,4
8,8,Fri Feb 07 2020 16:17:19 GMT-0800 (Pacific Standard Time),Saepe earum quisquam tempora natus. Voluptates culpa itaque nulla. Ipsa animi praesentium quibusdam quia ipsum excepturi enim.,2,5,1,5,3,2
9,9,Mon Nov 23 2020 04:35:48 GMT-0800 (Pacific Standard Time),Vero deserunt accusantium et nam qui. In maxime assumenda itaque sit nobis in eos aliquid enim. Quasi enim officiis ut. Nihil autem tenetur aut eaque qui. Asperiores quia ipsa impedit eum est qui praesentium. Dolorem enim facilis aliquid molestias.,3,2,1,4,3,5
10,10,Thu Jun 25 2020 02:40:20 GMT-0700 (Pacific Daylight Time),Dolores architecto sunt illo tenetur consectetur. Harum autem ipsum doloremque et provident beatae labore reiciendis numquam. Molestiae dolorem aut. Recusandae voluptas molestias velit voluptas quam. Nulla nulla autem quisquam et est aut at repellendus dolorum. Ad minima esse illo.,4,5,2,3,1,5
